                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96653,                 6.4709,                 1.0253,                0.00383,                0.59994,                0.05263,                0.03998,                0.65194,                 4.2142,                0.85092,                0.07075,                0.00325,                0.00325
                      1,                0.97376,                 4.9606,                 1.0563,                0.97414,                0.10851,                0.40162,                0.34317,                0.73583,                 3.4474,                 0.9021,               0.040533,              0.0063661,              0.0063661
                      2,                0.92362,                 4.3372,                0.96812,                0.72962,                0.19661,                0.42884,                0.33983,                0.83784,                 3.2914,                0.95642,               0.010096,              0.0092622,              0.0092622
                      3,                0.96148,                 3.9568,                0.99461,                 0.5048,                0.71875,                0.60423,                0.49187,                 0.7767,                 2.1186,                0.95585,                0.00901,                0.00901,                0.00901
                      4,                0.90502,                 3.1725,                0.97349,                0.47052,                0.76257,                0.72367,                0.58817,                0.72826,                  2.109,                 0.9358,                0.00901,                0.00901,                0.00901
                      5,                0.86414,                 2.8467,                0.97572,                0.68716,                0.85818,                0.77859,                0.65479,                0.73489,                 1.4898,                0.94785,                0.00868,                0.00868,                0.00868
                      6,                0.82421,                 2.3589,                0.96256,                0.72939,                0.90098,                0.78753,                0.65085,                0.69852,                 1.3312,                0.90756,                0.00835,                0.00835,                0.00835
                      7,                0.75129,                 2.0661,                 0.9294,                0.65428,                0.92439,                 0.7928,                0.69619,                0.56857,                 1.2946,                0.87155,                0.00802,                0.00802,                0.00802
                      8,                0.70673,                 2.0019,                0.93564,                0.63912,                0.91469,                0.78319,                0.69736,                 0.5294,                 1.1131,                0.85939,                0.00769,                0.00769,                0.00769
                      9,                0.66678,                  1.763,                0.91007,                0.67164,                0.85016,                0.74799,                0.66838,                0.55993,                 1.2749,                0.89564,                0.00736,                0.00736,                0.00736
                     10,                0.66084,                 1.5835,                0.91444,                0.69951,                0.98864,                0.78982,                0.71526,                0.49798,                0.88057,                0.84672,                0.00703,                0.00703,                0.00703
                     11,                0.66251,                 1.4583,                0.91095,                0.68652,                0.97727,                0.78111,                0.69662,                0.52566,                0.92768,                0.87029,                 0.0067,                 0.0067,                 0.0067
                     12,                0.57304,                 1.3451,                0.88856,                0.69837,                0.97085,                0.75077,                 0.6817,                0.52202,                0.85055,                0.85999,                0.00637,                0.00637,                0.00637
                     13,                0.59792,                  1.275,                0.87241,                0.71384,                0.97373,                 0.7976,                0.74088,                0.43371,                0.80945,                0.83529,                0.00604,                0.00604,                0.00604
                     14,                0.55631,                 1.2304,                0.88063,                0.71579,                0.98705,                0.78637,                0.72365,                0.45768,                0.79193,                0.84527,                0.00571,                0.00571,                0.00571
                     15,                0.53252,                 1.1248,                0.85787,                0.70811,                0.97848,                0.79701,                0.75732,                0.39953,                0.74671,                0.82702,                0.00538,                0.00538,                0.00538
                     16,                0.51496,                 1.1437,                0.86158,                0.73116,                0.96591,                0.78855,                0.74322,                0.39209,                0.76519,                0.82667,                0.00505,                0.00505,                0.00505
                     17,                0.51362,                 1.0601,                0.85916,                0.70807,                0.98864,                0.79156,                0.75158,                0.39506,                0.76432,                0.84479,                0.00472,                0.00472,                0.00472
                     18,                0.49167,                0.99842,                0.85619,                0.75022,                0.92936,                0.84208,                0.79895,                0.38975,                0.76989,                0.83548,                0.00439,                0.00439,                0.00439
                     19,                0.45925,                0.96747,                0.85085,                0.72104,                0.98268,                0.82345,                0.77055,                0.37034,                0.69618,                0.82362,                0.00406,                0.00406,                0.00406
                     20,                 0.4128,                 1.1219,                0.83281,                0.74973,                0.96185,                0.84867,                 0.8061,                0.38828,                0.70556,                0.82544,                0.00373,                0.00373,                0.00373
                     21,                 0.3964,                 1.0479,                 0.8227,                0.70267,                0.97822,                0.83935,                0.80315,                0.38238,                0.76299,                0.83832,                 0.0034,                 0.0034,                 0.0034
                     22,                0.40065,                0.99595,                0.82455,                0.75731,                0.95652,                0.85374,                0.82095,                0.37369,                0.69698,                0.83025,                0.00307,                0.00307,                0.00307
                     23,                0.38224,                0.98062,                0.82658,                0.77427,                0.93994,                0.84873,                  0.817,                 0.3466,                0.68805,                0.82074,                0.00274,                0.00274,                0.00274
                     24,                0.37672,                 0.9571,                0.82409,                0.73835,                0.98566,                0.84665,                0.82674,                0.32602,                0.68233,                 0.8145,                0.00241,                0.00241,                0.00241
                     25,                 0.3444,                0.92152,                0.81932,                0.76399,                0.94686,                0.86314,                0.82722,                0.34689,                0.64749,                0.82231,                0.00208,                0.00208,                0.00208
                     26,                0.34623,                0.88648,                0.80079,                0.76556,                0.90004,                0.86808,                0.84188,                0.31405,                0.63436,                0.81309,                0.00175,                0.00175,                0.00175
                     27,                0.34525,                0.88669,                0.82355,                0.78069,                0.95735,                0.88382,                0.86081,                0.31425,                0.62635,                0.81763,                0.00142,                0.00142,                0.00142
                     28,                0.34365,                0.88291,                0.80982,                0.75818,                0.94602,                0.87318,                0.85495,                0.30772,                0.61184,                0.81872,                0.00109,                0.00109,                0.00109
                     29,                0.30688,                0.81184,                 0.8041,                0.77189,                0.93951,                0.86496,                0.84286,                0.29697,                0.61462,                0.81549,                0.00076,                0.00076,                0.00076
