                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1664,                 1.3864,                 1.2171,                 0.6503,                0.54875,                0.61722,                0.45564,                   1.08,                  1.097,                 1.1259,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1803,                 1.4209,                 1.2532,                 0.7007,                0.58268,                0.64472,                0.48175,                 1.0559,                 1.0663,                 1.1109,               0.086485,              0.0014851,              0.0014851
                      2,                 1.1623,                 1.3049,                 1.2419,                0.73336,                0.59999,                0.66803,                 0.5011,                 1.0573,                 1.0258,                 1.1025,               0.079254,              0.0022545,              0.0022545
                      3,                 1.1305,                 1.1714,                 1.1836,                0.67557,                0.62005,                 0.6885,                0.50724,                 1.0648,                 1.0185,                 1.1035,               0.072008,              0.0030079,              0.0030079
                      4,                 1.0646,                 1.1797,                 1.1705,                0.74034,                0.63759,                0.71117,                0.53524,                 1.0507,                 0.9652,                 1.0989,               0.064746,              0.0037456,              0.0037456
                      5,                 1.1249,                   1.17,                 1.1841,                0.75664,                0.63265,                0.70875,                0.52491,                 1.0781,                0.99191,                  1.112,               0.057467,              0.0044673,              0.0044673
                      6,                  1.055,                 1.0542,                 1.1385,                0.75038,                0.64876,                0.72783,                0.52839,                 1.0819,                 0.9819,                 1.1084,               0.050173,              0.0051733,              0.0051733
                      7,                 1.1044,                  1.129,                 1.1944,                0.69826,                0.65655,                0.71295,                0.51301,                 1.0825,                0.99257,                 1.1061,               0.042863,              0.0058634,              0.0058634
                      8,                 1.1073,                 1.1708,                 1.1611,                0.65249,                0.63576,                0.67699,                 0.4996,                 1.1138,                 1.0253,                 1.1368,               0.035538,              0.0065377,              0.0065377
                      9,                 1.1197,                 1.0663,                  1.171,                0.66321,                0.59645,                0.66558,                   0.48,                 1.1396,                 1.1305,                  1.153,               0.028196,              0.0071961,              0.0071961
                     10,                  1.136,                 1.1326,                 1.1681,                0.69716,                0.58753,                 0.6818,                0.49576,                 1.1418,                 1.1192,                 1.1583,               0.020839,              0.0078387,              0.0078387
                     11,                 1.1012,                   1.15,                 1.1684,                0.66085,                0.61065,                0.67878,                0.49236,                 1.1083,                    1.1,                 1.1493,               0.013465,              0.0084655,              0.0084655
                     12,                 1.1274,                 1.1632,                 1.1729,                0.66398,                0.58607,                0.67389,                0.48644,                 1.1338,                 1.1908,                 1.1654,               0.008812,               0.008812,               0.008812
                     13,                 1.1611,                 1.1814,                 1.2108,                0.71389,                  0.523,                0.63484,                0.45505,                 1.1533,                 1.2942,                 1.1837,               0.008812,               0.008812,               0.008812
                     14,                 1.1616,                 1.1806,                 1.1928,                0.63442,                 0.5751,                0.61368,                0.43493,                 1.2356,                 1.4662,                 1.2215,               0.008713,               0.008713,               0.008713
